2025-04-01,Food,150,Brunch with friends
2025-04-01,Transport,60,Bus fare to campus
2025-04-02,Groceries,420,Mini grocery run
2025-04-02,Entertainment,299,Netflix renewal
2025-04-03,Food,200,Lunch at food court
2025-04-03,Shopping,850,New heels
2025-04-04,Transport,110,Rickshaw to station
2025-04-04,Food,120,Evening snacks
2025-04-05,Groceries,600,Weekly groceries
2025-04-06,Entertainment,500,Concert ticket
2025-04-07,Food,180,Biryani!!
2025-04-07,Self-care,300,Salon appointment
2025-04-08,Transport,90,Uber pool to event
2025-04-08,Stationery,130,Journal and pens
2025-04-09,Food,160,Coffee and cake
2025-04-10,Food,180.5,Coffee and croissant
2025-04-11,Transport,90,Auto to campus
2025-04-12,Shopping,1200,Dress for the event
2025-04-13,Entertainment,300,Movie with friends
2025-04-14,Groceries,550,Weekly grocery run
2025-04-15,Food,210,Brunch date
2025-04-16,Transport,100,Bike fuel
2025-04-16,Food,90,Campus chai & puffs
2025-04-17,Self-care,450,Spa at home kit
2025-04-18,Shopping,999,New bag
2025-04-19,Food,130,Fast food craving
2025-04-20,Entertainment,250,Book purchase
2025-04-21,Food,180,Mom-made comfort food 😋
2025-04-22,Transport,70,Bus to library
2025-04-23,Food,160,Quick lunch
2025-04-24,Groceries,630,Fruits and veggies
2025-04-25,Shopping,2200,Shoes + jacket sale
2025-04-26,Entertainment,400,Karaoke night
2025-04-27,Food,175,Pizza night
2025-04-28,Self-care,280,Face mask + serum
2025-04-29,Transport,60,Shared cab
2025-04-30,Food,200,Last-day-of-month treat
2025-04-17,Travel,500.0,home
